Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,56.049999,59.040001,55.169998,58.900002,55.081150,7162100
2022-01-25,58.330002,59.599998,57.040001,59.020000,55.193375,5919600
2022-01-26,59.650002,60.349998,58.169998,58.919998,55.099850,5581800
2022-01-27,59.509998,60.680000,57.590000,58.369999,54.585514,4958500
2022-01-28,57.860001,58.509998,57.000000,58.480000,55.008808,4127000
2022-01-31,58.070000,59.330002,57.549999,59.259998,55.742504,6889500
2022-02-01,59.580002,60.910000,59.049999,60.689999,57.087624,4779000
2022-02-02,60.560001,61.119999,60.189999,61.049999,57.426258,4346000
2022-02-03,61.349998,61.680000,60.630001,60.770000,57.162880,2957300
2022-02-04,60.869999,62.660000,60.610001,61.810001,58.141148,4373500
2022-02-07,61.959999,62.540001,61.630001,62.250000,58.555035,2890600
2022-02-08,63.110001,63.970001,62.689999,63.619999,59.843712,4925900
2022-02-09,63.919998,63.919998,63.110001,63.660000,59.881340,3345100
2022-02-10,62.830002,64.629997,62.830002,63.470001,59.702614,6032900
2022-02-11,63.150002,64.300003,61.910000,62.330002,58.630283,6374800
2022-02-14,62.349998,62.529999,60.770000,61.470001,57.821331,5335400
2022-02-15,62.130001,62.560001,61.810001,62.230000,58.536217,4486100
2022-02-16,61.810001,62.889999,61.590000,62.500000,58.790188,3657800
2022-02-17,61.480000,61.689999,57.299999,57.349998,53.945877,9864700
2022-02-18,57.090000,57.459999,56.009998,56.380001,53.033459,7611500
2022-02-22,56.000000,56.630001,55.200001,55.639999,52.337372,6203800
2022-02-23,56.000000,56.250000,53.090000,53.349998,50.183304,6770600
2022-02-24,51.689999,52.700001,50.610001,52.500000,49.383762,8487900
2022-02-25,52.970001,54.480000,52.810001,54.369999,51.142765,6413200
2022-02-28,52.590000,53.500000,52.349998,53.150002,49.995171,9772300
2022-03-01,52.759998,52.759998,49.810001,50.580002,47.577724,8434800
2022-03-02,51.160000,52.720001,51.160000,52.139999,49.045120,4690600
2022-03-03,52.250000,52.860001,51.570000,52.360001,49.252068,4794700
2022-03-04,50.919998,51.230000,50.209999,50.919998,47.897541,6249000
2022-03-07,50.389999,50.840000,49.820000,50.009998,47.041557,8228800
2022-03-08,50.689999,51.830002,49.889999,50.730000,47.718822,8072500
2022-03-09,52.810001,53.360001,52.020000,52.180000,49.082752,6970500
2022-03-10,50.720001,51.180000,48.840000,50.000000,47.032150,9396000
2022-03-11,50.860001,51.119999,49.799999,50.000000,47.032150,5755500
2022-03-14,50.779999,51.310001,50.240002,50.529999,47.530689,6226200
2022-03-15,50.840000,50.990002,49.950001,50.549999,47.549503,5743700
2022-03-16,51.570000,52.709999,50.910000,51.910000,48.828785,7218600
2022-03-17,51.060001,52.540001,50.369999,52.509998,49.393162,7149500
2022-03-18,52.520000,52.580002,51.119999,52.299999,49.195629,19554900
2022-03-21,52.639999,52.910000,51.790001,52.180000,49.082752,6884400
2022-03-22,52.869999,53.459999,52.310001,52.689999,49.562473,5306600
2022-03-23,52.400002,52.680000,51.680000,51.730000,48.659466,3659100
2022-03-24,52.040001,52.200001,51.450001,52.040001,48.951065,3879600
2022-03-25,52.090000,53.009998,52.029999,52.740002,49.609516,4283300
2022-03-28,52.790001,52.799999,51.900002,52.509998,49.393162,4195900
