Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,45.169998,45.759998,45.040001,45.049999,39.979263,5940100
2020-01-28,45.400002,45.430000,44.810001,44.970001,39.908268,8295700
2020-01-29,45.099998,45.180000,44.279999,44.459999,39.455677,9836000
2020-01-30,44.160000,45.480000,44.099998,45.400002,40.289867,5153400
2020-01-31,45.040001,45.189999,44.340000,44.779999,39.739655,6765800
2020-02-03,45.040001,45.880001,44.919998,45.209999,40.121254,6482200
2020-02-04,45.840000,46.630001,45.830002,45.950001,40.777969,6870500
2020-02-05,46.480000,47.200001,46.450001,46.980000,41.692032,5209400
2020-02-06,47.250000,47.630001,47.060001,47.540001,42.188999,5696900
2020-02-07,47.230000,47.509998,46.980000,47.250000,41.931633,3867000
2020-02-10,46.980000,47.060001,46.340000,46.490002,41.257179,3078900
2020-02-11,46.660000,46.799999,46.310001,46.419998,41.195065,3480600
2020-02-12,46.810001,47.200001,46.509998,46.560001,41.319302,2631600
2020-02-13,46.439999,46.599998,45.959999,46.029999,40.848961,2699300
2020-02-14,46.099998,46.230000,45.689999,45.900002,40.733585,3770800
2020-02-18,45.799999,46.029999,45.180000,45.290001,40.192249,3253200
2020-02-19,45.299999,46.009998,45.200001,45.919998,40.751339,3957000
2020-02-20,45.799999,46.299999,45.599998,45.830002,40.671471,2925800
2020-02-21,45.509998,45.740002,44.830002,45.040001,39.970387,5058500
2020-02-24,44.020000,44.119999,42.900002,43.130001,38.275372,5088300
2020-02-25,43.209999,43.419998,41.330002,41.590000,36.908714,5765100
2020-02-26,41.820000,42.070000,41.189999,41.369999,36.713482,6741400
2020-02-27,40.509998,42.820000,40.230000,40.959999,36.349625,11049300
2020-02-28,39.520000,40.070000,38.540001,39.900002,35.408939,14487900
2020-03-02,40.029999,40.959999,39.200001,40.959999,36.349625,11490700
2020-03-03,40.889999,40.939999,38.099998,38.830002,34.459377,14057800
2020-03-04,39.310001,40.910000,38.650002,40.500000,35.941406,12017400
2020-03-05,38.560001,40.119999,38.160000,39.299999,34.876469,10984100
2020-03-06,37.570000,38.740002,37.360001,38.070000,33.784920,9299800
2020-03-09,34.799999,37.439999,34.200001,34.950001,31.016096,8351900
2020-03-10,36.509998,36.610001,35.040001,36.549999,32.436005,8741400
2020-03-11,35.619999,35.919998,33.700001,34.200001,30.350515,8599400
2020-03-12,31.850000,32.340000,29.400000,29.520000,26.197292,9726400
2020-03-13,31.750000,34.130001,30.450001,34.130001,30.288401,9089100
2020-03-16,29.139999,32.619999,29.000000,29.180000,25.895559,9714900
2020-03-17,30.129999,30.600000,28.190001,29.969999,26.596636,11954600
2020-03-18,28.059999,29.540001,26.400000,28.760000,25.522833,10176600
2020-03-19,28.459999,31.320000,27.700001,30.000000,26.623259,7907500
2020-03-20,30.299999,31.309999,28.870001,29.070000,25.797941,9555900
2020-03-23,28.809999,28.959999,26.930000,27.490000,24.395779,8555200
2020-03-24,29.209999,31.590000,29.170000,31.000000,27.510702,9411600
2020-03-25,31.510000,32.889999,29.510000,31.639999,28.078667,9866600
2020-03-26,31.930000,33.169998,30.930000,33.000000,29.285589,8440900
2020-03-27,31.629999,33.529999,31.280001,32.540001,28.877365,5764500
2020-03-30,32.599998,34.180000,31.719999,34.000000,30.173027,6232200
